Symbol,Company,Country,GICS,Sector,Price:number
ABS            ,ABC Learning Centres Limited,Australia         ,25        ,Consumer Discretionary,       7.28
ADB            ,Adelaide Bank Limited,Australia         ,65        ,Financial-x-Property Trusts,      15.05
ABC            ,Adelaide Brighton Limited,Australia         ,15        ,Materials,       3.78
AGK            ,AGL Energy Limited,Australia         ,55        ,Utilities,      15.96
ALS            ,Alesco Corporation Limited,Australia         ,20        ,Industrials,      13.06
AAN            ,Alinta Limited,Australia         ,55        ,Utilities,      15.08
AFG            ,Allco Finance Group Limited,Australia         ,65        ,Financial-x-Property Trusts,      11.80
AWC            ,Alumina Limited,Australia         ,15        ,Materials,       7.30
AMC            ,Amcor Limited,Australia         ,15        ,Materials,       7.55
AMP            ,AMP Limited,Australia         ,65        ,Financial-x-Property Trusts,      10.84
ANN            ,Ansell Limited,Australia         ,35        ,Health Care,      11.38
APA            ,APA Group,Australia         ,55        ,Utilities,       4.23
APN            ,APN News & Media Limited,Australia         ,25        ,Consumer Discretionary,       6.01
AEZ            ,Apn/Uka European Retail Trust,Australia         ,60        ,Property Trusts,       1.29
AQP            ,Aquarius Platinum Limited,Australia         ,15        ,Materials,      39.14
ARQ            ,Arc Energy Limited,Australia         ,10        ,Energy,       1.33
ALL            ,Aristocrat Leisure Limited,Australia         ,25        ,Consumer Discretionary,      16.23
ASX            ,ASX Limited,Australia         ,65        ,Financial-x-Property Trusts,      47.81
AUN            ,Austar United Communications Limited,Australia         ,25        ,Consumer Discretionary,       1.73
ALZ            ,Australand Property Group,Australia         ,65        ,Financial-x-Property Trusts,       2.28
ANZ            ,Australia And New Zealand Banking Group Limited,Australia         ,65        ,Financial-x-Property Trusts,      31.21
AIX            ,Australian Infrastructure Fund,Australia         ,20        ,Industrials,       2.95
API            ,Australian Pharmaceutical Industries Limited,Australia         ,35        ,Health Care,       2.16
AUW            ,Australian Wealth Mgt,Australia         ,65        ,Financial-x-Property Trusts,       2.47
AWE            ,Australian Worldwide Exploration Limited,Australia         ,10        ,Energy,       2.87
AWB            ,AWB Limited,Australia         ,30        ,Consumer Staples,       3.52
AXA            ,AXA Asia Pacific Holdings Limited,Australia         ,65        ,Financial-x-Property Trusts,       7.72
BBI            ,Babcock & Brown Infrastructure Group,Australia         ,55        ,Utilities,       1.87
BNB            ,Babcock & Brown Limited,Australia         ,65        ,Financial-x-Property Trusts,      28.40
BBP            ,Babcock & Brown Power,Australia         ,55        ,Utilities,       2.96
BBW            ,Babcock & Brown Wind Partners Group,Australia         ,55        ,Utilities,       1.81
BCM            ,Babcock and Brown Capital Limited,Australia         ,65        ,Financial-x-Property Trusts,       4.15
BJT            ,Babcock&Brown Japan Property Trust,Australia         ,60        ,Property Trusts,       2.00
BOQ            ,Bank Of Queensland Limited.,Australia         ,65        ,Financial-x-Property Trusts,      18.98
BPT            ,Beach Petroleum Limited,Australia         ,10        ,Energy,       1.29
BEN            ,Bendigo Bank Limited,Australia         ,65        ,Financial-x-Property Trusts,      17.80
BDG            ,Bendigo Mining Limited,Australia         ,15        ,Materials,       0.37
BHP            ,BHP Billiton Limited,Australia         ,15        ,Materials,      29.85
BBG            ,Billabong International Limited,Australia         ,25        ,Consumer Discretionary,      16.79
BSL            ,Bluescope Steel Limited,Australia         ,15        ,Materials,      11.64
BSG            ,Bolnisi Gold NL,Australia         ,15        ,Materials,       3.12
BOL            ,Boom Logistics Limited,Australia         ,20        ,Industrials,       3.44
BLD            ,Boral Limited,Australia         ,15        ,Materials,       8.87
BKN            ,Bradken Limited,Australia         ,20        ,Industrials,       9.55
BXB            ,Brambles Limited,Australia         ,20        ,Industrials,      13.32
BWP            ,Bunnings Warehouse Property Trust,Australia         ,60        ,Property Trusts,       2.42
CAB            ,Cabcharge Australia Limited,Australia         ,20        ,Industrials,      11.13
CTX            ,Caltex Australia Limited,Australia         ,10        ,Energy,      24.35
CEY            ,Centennial Coal Company Limited,Australia         ,10        ,Energy,       3.20
CNP            ,Centro Properties Group,Australia         ,60        ,Property Trusts,       9.34


