Surname,Given_names,Yob,Yod,Country,Pic
"BEETHOVEN","Ludwig","1770","1827","GERMANY","BEETHOVE.BMP"
"BACH","Johann Sebastian","1685","1750","GERMANY","BACH.BMP"
"CHOPIN","Frederic","1810","1849","POLAND","CHOPIN.BMP"
"DEBUSSY","Claude","1862","1918","FRANCE","DEBUSSY.BMP"
"HAYDN","Franz Joseph","1732","1809","AUSTRIA","HAYDN.BMP"
"LISZT","Franz","1811","1886","HUNGARY","LISZT.BMP"
"MENDELSSOHN","Felix","1809","1847","GERMANY","MENDELSO.BMP"
"MOZART","Wolfgang Amadeus","1756","1791","AUSTRIA","MOZART.BMP"
"PUCCINI","Giacomo","1858","1924","ITALY","PUCCINI.BMP"
"SCHUMANN","Robert","1810","1856","GERMANY","SCHUMANN.BMP"
"TCHAIKOVSKY","Peter Ilyich","1840","1893","RUSSIA","TCHAIKOV.BMP"
"SCHUBERT","Franz Peter","1797","1828","VIENNA","SCHUBERT.BMP"
"HANDEL","George Frederich","1685","1759","GERMANY","HANDEL.BMP"
