Code,Code2,Name,Timedif:number,Timedif2:number
"355","0","ALBANIA","1.00","0.00"
"213","0","ALGERIA","0.00","0.00"
"376","0","ANDORRA","1.00","0.00"
"244","0","ANGOLA","1.00","0.00"
"1","809467","ANGUILLA","-4.00","0.00"
"672","0","ANTARCTICA","8.00","0.00"
"1","809464","ANTIGUA AND BARBUDA","-4.00","0.00"
"54","0","ARGENTINA","-3.00","0.00"
"7","0","ARMENIA","4.00","0.00"
"297","8","ARUBA","-4.00","0.00"
"247","0","ASCENSION IS","0.00","0.00"
"61","0","AUSTRALIA","8.00","10.00"
"43","0","AUSTRIA","1.00","0.00"
"994","0","AZERBAIJAN","4.00","0.00"
"1","809","BAHAMAS","-5.00","0.00"
"973","0","BAHRAIN","3.00","0.00"
"880","0","BANGLADESH","6.00","0.00"
"1","809","BARBADOS","-4.00","0.00"
"7","0","BELARUS","3.00","0.00"
"32","0","BELGIUM","1.00","0.00"
"501","0","BELIZE","-6.00","0.00"
"229","0","BENIN","1.00","0.00"
"1","441","BERMUDA","-4.00","0.00"
"975","0","BHUTAN","6.00","0.00"
"591","0","BOLIVA","-4.00","0.00"
"387","0","BOSNIA HERZEGOVINA","1.00","0.00"
"267","0","BOTSWANA","2.00","0.00"
"55","0","BRAZIL","-3.00","-5.00"
"673","0","BRUNEI","8.00","0.00"
"359","0","BULGARIA","2.00","0.00"
"226","0","BURKINA FASO","0.00","0.00"
"257","0","BURUNDI","2.00","0.00"
"855","0","CAMBODIA","7.00","0.00"
"237","0","CAMEROON","1.00","0.00"
"1","0","CANADA","-3.00","-9.00"
"238","0","CAPE VERDE","-1.00","0.00"
"1","809947","CAYMAN IS.","-5.00","0.00"
"236","0","CENTRAL AFRICAN REP.","1.00","0.00"
"235","0","CHAD","1.00","0.00"
"56","0","CHILE","-4.00","0.00"
"86","0","CHINA","8.00","0.00"
"57","0","COLOMBIA","-5.00","0.00"
"269","0","COMORO ISLAND","3.00","0.00"
"242","0","CONGO","1.00","0.00"
"682","0","COOK ISLANDS","-10.00","0.00"
"506","0","COSTA RICA","-6.00","0.00"
"385","0","CROATIA","1.00","0.00"
"53","0","CUBA","-3.00","0.00"
"357","0","CYPRUS","2.00","0.00"
"42","0","CZECH REPUBLIC","1.00","0.00"
"45","0","DENMARK","1.00","0.00"
"246","0","DIEGO GARCIA","5.00","0.00"
"253","0","DJIBOUTI","3.00","0.00"
"1","809","DOMINICA IS.","-4.00","0.00"
"1","809","DOMINICAN REP.","-4.00","0.00"
"593","0","ECUADOR","-5.00","0.00"
"20","0","EGYPT","2.00","0.00"
"503","0","EL SALVADOR","-6.00","0.00"
"240","0","EQUATORIAL GUINEA","1.00","0.00"
"372","0","ESTONIA","3.00","0.00"
"251","0","ETHIOPIA","3.00","0.00"
"500","0","FALKLAND IS.","-4.00","0.00"
"298","0","FAROE IS.","0.00","0.00"
"679","0","FIJI","12.00","0.00"
"358","0","FINLAND","2.00","0.00"
"389","0","FORMER YUGOSLAV REP. MACEDONIA","1.00","0.00"
"33","0","FRANCE","1.00","0.00"
"594","0","FRENCH GUIANA","-4.00","0.00"
"689","0","FRENCH POLYNESIA","-10.00","0.00"
"241","0","GABON","1.00","0.00"
"995","0","GEORGIA","4.00","0.00"
"49","0","GERMANY","1.00","0.00"
"233","0","GHANA","0.00","0.00"
"350","0","GIBRALTA","1.00","0.00"
"30","0","GREECE","2.00","0.00"
"299","0","GREENLAND","-3.00","0.00"
"1","809","GRENADA","-4.00","0.00"
"590","0","GUADELOUPE","-4.00","0.00"
"671","0","GUAM","10.00","0.00"
"502","0","GUATEMALA","-6.00","0.00"
"245","0","GUINEA BISSAU","-1.00","0.00"
"224","0","GUINEA REPUBLIC","0.00","0.00"
"592","0","GUYANA","-3.00","0.00"
"509","0","HAITI","-5.00","0.00"
"504","0","HONDURAS","-6.00","0.00"
"8522","0","HONG KONG","8.00","0.00"
"36","0","HUNGARY","1.00","0.00"
"354","0","ICELAND","0.00","0.00"
"91","0","INDIA","6.00","0.00"
"62","0","INDONESIA","7.00","0.00"
"98","0","IRAN","4.00","0.00"
"964","0","IRAQ","3.00","0.00"
"353","0","IRELAND","0.00","0.00"
"44","0","IRELAND NORTH","0.00","0.00"
"972","0","ISRAEL","2.00","0.00"
"39","0","ITALY","1.00","0.00"
"225","0","IVORY COAST","0.00","0.00"
"1","809","JAMAICA","-5.00","0.00"
"81","0","JAPAN","9.00","0.00"
"962","0","JORDAN","2.00","0.00"
"7","0","KAZAKHSTAN","6.00","0.00"
"254","0","KENYA","3.00","0.00"
"686","0","KIRIBATI","12.00","0.00"
"850","0","KOREA (NORTH)","9.00","0.00"
"82","0","KOREA (SOUTH)","9.00","0.00"
"965","0","KUWAIT","3.00","0.00"
"7","0","KYRGYZSTAN","6.00","0.00"
"856","0","LAOS","7.00","0.00"
"371","0","LATVIA","3.00","0.00"
"961","0","LEBANON","2.00","0.00"
"266","0","LESOTHO","2.00","0.00"
"231","0","LIBERIA","0.00","0.00"
"218","0","LIBYA","2.00","0.00"
"41","0","LIECHTENSTEIN","1.00","0.00"
"370","0","LITHUANIA","3.00","0.00"
"352","0","LUXEMBOURG","1.00","0.00"
"853","0","MACAU","8.00","0.00"
"261","0","MADAGASCAR","3.00","0.00"
"265","0","MALAWI","2.00","0.00"
"60","0","MALAYSIA","8.00","0.00"
"960","0","MALDIVES REP.","5.00","0.00"
"223","0","MALI","0.00","0.00"
"356","0","MALTA","1.00","0.00"
"670","0","MARIANA IS.","10.00","0.00"
"692","0","MARSHALL ISLANDS","8.00","0.00"
"596","0","MARTINIQUE","-4.00","0.00"
"222","0","MAURITANIA","0.00","0.00"
"230","0","MAURITIUS","4.00","0.00"
"269","0","MAYOTTE","3.00","0.00"
"52","0","MEXICO","-6.00","-8.00"
"691","0","MICONESIA","10.00","0.00"
"373","0","MOLDOVA","3.00","0.00"
"33","0","MONACO","1.00","0.00"
"976","0","MONGOLIA","8.00","0.00"
"1","809492","MONTSERRAT","-4.00","0.00"
"212","0","MOROCCO","0.00","0.00"
"258","0","MOZAMBIQUE","2.00","0.00"
"95","0","MYANMAR","7.00","0.00"
"264","0","NAMIBIA","2.00","0.00"
"674","0","NAURU","12.00","0.00"
"977","0","NEPAL","6.00","0.00"
"31","0","NETHERLANDS","1.00","0.00"
"599","0","NETHERLANDS ANTILLES","-4.00","0.00"
"687","0","NEW CALENONIA","11.00","0.00"
"64","0","NEW ZEALAND","12.00","0.00"
"505","0","NICARAGUA","-6.00","0.00"
"227","0","NIGER","1.00","0.00"
"234","0","NIGERIA","1.00","0.00"
"683","0","NIUE IS.","-11.00","0.00"
"672","0","NORFOLK IS.","11.00","0.00"
"47","0","NORWAY","1.00","0.00"
"968","0","OMAN","4.00","0.00"
"92","0","PAKISTAN","5.00","0.00"
"680","0","PALAU","9.00","0.00"
"507","0","PANAMA","-5.00","0.00"
"675","0","PAPUA NEW GUINEA","10.00","0.00"
"595","0","PARAGUAY","-4.00","0.00"
"51","0","PERU","-5.00","0.00"
"63","0","PHILIPPINES","8.00","0.00"
"48","0","POLAND","1.00","0.00"
"351","0","PORTUGAL","1.00","0.00"
"1","787","PUERTO RICO","-4.00","0.00"
"974","0","QATAR","3.00","0.00"
"262","0","REUNION","4.00","0.00"
"40","0","ROMANIA","2.00","0.00"
"7","0","RUSSIA","3.00","0.00"
"250","0","RWANDA","2.00","0.00"
"684","0","SAMOA (AMERICAN)","-11.00","0.00"
"685","0","SAMOA (WESTERN)","-11.00","0.00"
"378","0","SAN MARINO","1.00","0.00"
"239","0","SAO TOME & PRINCIPE","0.00","0.00"
